expected_onset_to_arrival_time,total,haemo,lvo,nlvo,no_treatment,haemo_no_treatment,lvo_no_treatment,nlvo_no_treatment,mt,ivt,ivt_mt,lvo_ivt,nlvo_ivt,lvo_ivt_only,lvo_mt_only,lvo_ivt_mt,nlvo_ivt_only,nlvo_mt_only,nlvo_ivt_mt,mt_also_ivt,ivt_also_lvo
11,185898.0,0.13554745075256322,0.22399380305328728,0.6404587461941494,0.7745268910908133,0.13554745075256322,0.12020570420338035,0.5187737361348697,0.020834005745086016,0.21829713068456896,0.013658027520468213,0.09661212062528914,0.12168501005927981,0.08295409310482092,0.007175978224617801,0.013658027520468213,0.12168501005927981,0.0,0.0,0.6555641621482056,0.4425716468297972
12,189504.0,0.13472538838230327,0.22224332995609591,0.6430312816616008,0.7787012411347518,0.13472538838230327,0.12031408308004053,0.523661769672408,0.020548378926038502,0.21415379094900372,0.013403411009793989,0.09478427895981087,0.11936951198919284,0.08138086795001688,0.007144967916244512,0.013403411009793989,0.11936951198919284,0.0,0.0,0.6522855675398048,0.4425991178572309
13,192866.0,0.1340412514388228,0.22080097062208995,0.6451577779390872,0.7824914707620835,0.1340412514388228,0.12058112886667427,0.5278690904565865,0.020257588170024782,0.21042070660458556,0.01316976553669387,0.09313201912208477,0.1172886874825008,0.0799622535853909,0.0070878226333309135,0.01316976553669387,0.1172886874825008,0.0,0.0,0.6501151778858459,0.4425991178572309
14,196181.0,0.13338192791350845,0.21948098949439548,0.6471370825920961,0.7860903961137928,0.13338192791350845,0.12087816862998965,0.5318302995702948,0.01999174231959262,0.20686508887201105,0.012947227305396547,0.09155830585020976,0.11530678302180129,0.07861107854481321,0.007044515014196074,0.012947227305396547,0.11530678302180129,0.0,0.0,0.647628760836308,0.4425991178572309
15,199058.0,0.13277034834068463,0.218278089802972,0.6489515618563434,0.7891267871675592,0.13277034834068463,0.12104512252710266,0.5353113162997719,0.019758060464789156,0.20387525243898763,0.012760100071335993,0.09023500688241617,0.11364024555657146,0.07747490681108019,0.006997960393453164,0.012760100071335993,0.11364024555657146,0.0,0.0,0.6458174421561149,0.4425991178572309
16,201667.0,0.13224771529303259,0.21729385571263518,0.6504584289943323,0.7918201788096219,0.13224771529303259,0.12128409705107926,0.5382883664655099,0.019537157789821836,0.2012376839046547,0.01259502050409834,0.08906762137583243,0.11217006252882226,0.07647260087173409,0.0069421372857234945,0.01259502050409834,0.11217006252882226,0.0,0.0,0.6446700507614214,0.4425991178572309
17,203980.0,0.13169918619472498,0.21609961760956956,0.6522011961957055,0.7941660947151682,0.13169918619472498,0.12116383959211688,0.5413030689283264,0.019330326502598295,0.19895577997842925,0.012452201196195705,0.08805765271105011,0.11089812726737916,0.0756054515148544,0.006878125306402589,0.012452201196195705,0.11089812726737916,0.0,0.0,0.6441795587116409,0.4425991178572309
18,206109.0,0.13134797607091395,0.21513859171603375,0.6535134322130524,0.7962631423178997,0.13134797607091395,0.12115434066440572,0.5437608255825801,0.01915976497872485,0.1969006690634567,0.012323576360081316,0.0871480624329845,0.10975260663047223,0.07482448607290318,0.006836188618643533,0.012323576360081316,0.10975260663047223,0.0,0.0,0.6432008103317296,0.4425991178572309
19,208034.0,0.13092090715940663,0.2141813357431958,0.6548977570973975,0.7981339588721075,0.13092090715940663,0.12105232798484863,0.5461607237278522,0.018996894738360075,0.19507868906044204,0.012209542670909563,0.08634165569089668,0.10873703336954536,0.07413211301998712,0.006787352067450513,0.012209542670909563,0.10873703336954536,0.0,0.0,0.6427125506072875,0.4425991178572309
20,209894.0,0.13052779021791952,0.2132504978703536,0.6562217119117268,0.7999085252556052,0.13052779021791952,0.12093247067567439,0.5484482643620113,0.01884284448340591,0.19334997665488293,0.01210134639389406,0.08557652910516737,0.10777344754971557,0.0734751827112733,0.006741498089511849,0.01210134639389406,0.10777344754971557,0.0,0.0,0.6422250316055625,0.4425991178572309
21,211609.0,0.1300748077822777,0.21224995156160656,0.6576752406561157,0.8015160035726269,0.1300748077822777,0.12066594521026988,0.5507752505800793,0.018704308417883928,0.19178295819175933,0.01200327018227013,0.08488296811572286,0.10689999007603647,0.07287969793345274,0.006701038235613797,0.01200327018227013,0.10689999007603647,0.0,0.0,0.6417382516422435,0.4425991178572309
22,213188.0,0.1297071129707113,0.21138619434489747,0.6589066926843913,0.8029860967784304,0.1297071129707113,0.12048051485074207,0.5527984689569769,0.018565772932810476,0.1903624969510479,0.011914366662288685,0.0842542732236336,0.1061082237274143,0.07233990656134491,0.006651406270521793,0.011914366662288685,0.1061082237274143,0.0,0.0,0.6417382516422435,0.4425991178572309
23,214667.0,0.12933520289564768,0.21051675385597227,0.6601480432483801,0.8043388131384889,0.12933520289564768,0.1202327325578687,0.5547708776849726,0.018442517946400703,0.18905094867865113,0.01183227976354074,0.08367378311524361,0.10537716556340751,0.07184150335170288,0.006610238182859964,0.01183227976354074,0.10537716556340751,0.0,0.0,0.6415761555948472,0.4425991178572309
24,216225.0,0.12892588738582494,0.20948548965198288,0.6615886229621921,0.8057486414614407,0.12892588738582494,0.11985200601225575,0.5569707480633599,0.01830963117123367,0.18768875014452538,0.011747022777199675,0.08307087524569315,0.10461787489883223,0.07132385246849347,0.006562608394033992,0.011747022777199675,0.10461787489883223,0.0,0.0,0.6415761555948472,0.4425991178572309
inf,358993.0,0.12215279963676172,0.17943246804255236,0.698414732320686,0.8804572791112919,0.12215279963676172,0.12366536394860067,0.6346391155259294,0.012097728925076533,0.1146624028880786,0.007217410924446995,0.05088678609332215,0.06377561679475645,0.04366937516887516,0.004880318000629539,0.007217410924446995,0.06377561679475645,0.0,0.0,0.596592217361271,0.4437966134635474
